wall_time,mav_boot_ms,att_age_ms,obs_00,obs_01,obs_02,obs_03,obs_04,obs_05,obs_06,obs_07,obs_08,obs_09,obs_10,obs_11,obs_12,action_0,action_1,action_2,kp_roll_raw,ki_roll_raw,kd_roll_raw,k_roll_raw,kp_pitch_raw,ki_pitch_raw,kd_pitch_raw,k_pitch_raw,kp_eff_roll,ki_eff_roll,kd_eff_roll,kp_eff_pitch,ki_eff_pitch,kd_eff_pitch,obs06_in_range,obs07_in_range,obs08_in_range,obs09_in_range,obs10_in_range,obs11_in_range,flag_rates_sane,flag_obs_finite,flag_action_finite,flag_action_in_range,flag_gains_match,flag_gains_in_bounds
1778955911.697383,47092,0.2,-0.003971,-0.003159,-0.005488,0.003384,0.017402,0.006092,0.099419,0.050000,0.198837,0.099419,0.050000,0.198837,1.000000,1.000000,-0.999626,-1.000000,0.171000,0.008600,0.001710,1.000000,0.171000,0.008600,0.001710,1.000000,0.171000,0.008600,0.001710,0.171000,0.008600,0.001710,1,1,1,1,1,1,1,1,1,1,1,1
1778955911.898100,47292,0.2,-0.004209,-0.002652,0.002414,0.001052,0.010213,0.006904,0.099419,0.050000,0.198837,0.099419,0.050000,0.198837,1.000000,1.000000,-0.999585,-1.000000,0.171000,0.008600,0.001710,1.000000,0.171000,0.008600,0.001710,1.000000,0.171000,0.008600,0.001710,0.171000,0.008600,0.001710,1,1,1,1,1,1,1,1,1,1,1,1
1778955912.096669,47492,0.1,-0.003519,-0.001932,0.005609,0.005747,0.004948,0.000048,0.099419,0.050000,0.198837,0.099419,0.050000,0.198837,1.000000,1.000000,-0.999665,-1.000000,0.171000,0.008600,0.001710,1.000000,0.171000,0.008600,0.001710,1.000000,0.171000,0.008600,0.001710,0.171000,0.008600,0.001710,1,1,1,1,1,1,1,1,1,1,1,1
1778955912.296597,47692,0.1,-0.002695,-0.000907,0.003502,0.007501,0.004583,-0.004781,0.099419,0.050000,0.198837,0.099419,0.050000,0.198837,1.000000,1.000000,-0.999642,-1.000000,0.171000,0.008600,0.001710,1.000000,0.171000,0.008600,0.001710,1.000000,0.171000,0.008600,0.001710,0.171000,0.008600,0.001710,1,1,1,1,1,1,1,1,1,1,1,1
1778955912.496322,47892,0.1,-0.001917,0.000528,0.002500,0.007078,0.003250,-0.008662,0.099419,0.050000,0.198837,0.099419,0.050000,0.198837,1.000000,1.000000,-0.999573,-1.000000,0.171000,0.008600,0.001710,1.000000,0.171000,0.008600,0.001710,1.000000,0.171000,0.008600,0.001710,0.171000,0.008600,0.001710,1,1,1,1,1,1,1,1,1,1,1,1
1778955912.698626,48092,0.1,-0.001031,0.002099,0.006142,0.007645,-0.003049,-0.013942,0.099419,0.050000,0.198837,0.099419,0.050000,0.198837,1.000000,1.000000,-0.999490,-1.000000,0.171000,0.008600,0.001710,1.000000,0.171000,0.008600,0.001710,1.000000,0.171000,0.008600,0.001710,0.171000,0.008600,0.001710,1,1,1,1,1,1,1,1,1,1,1,1
1778955912.897814,48292,0.1,0.000237,0.003429,0.007510,0.006719,-0.008221,-0.017007,0.099419,0.050000,0.198837,0.099419,0.050000,0.198837,1.000000,1.000000,-0.999380,-1.000000,0.171000,0.008600,0.001710,1.000000,0.171000,0.008600,0.001710,1.000000,0.171000,0.008600,0.001710,0.171000,0.008600,0.001710,1,1,1,1,1,1,1,1,1,1,1,1
1778955913.098202,48492,0.2,0.001419,0.004164,0.006372,0.001030,-0.010630,-0.013521,0.099419,0.050000,0.198837,0.099419,0.050000,0.198837,1.000000,1.000000,-0.999190,-1.000000,0.171000,0.008600,0.001710,1.000000,0.171000,0.008600,0.001710,1.000000,0.171000,0.008600,0.001710,0.171000,0.008600,0.001710,1,1,1,1,1,1,1,1,1,1,1,1
1778955913.298413,48692,0.1,0.002443,0.004222,0.004728,0.000003,-0.012058,-0.012670,0.099419,0.050000,0.198837,0.099419,0.050000,0.198837,1.000000,1.000000,-0.999147,-1.000000,0.171000,0.008600,0.001710,1.000000,0.171000,0.008600,0.001710,1.000000,0.171000,0.008600,0.001710,0.171000,0.008600,0.001710,1,1,1,1,1,1,1,1,1,1,1,1
1778955913.498827,48892,0.1,0.003299,0.003811,0.003316,-0.003134,-0.013212,-0.008298,0.099419,0.050000,0.198837,0.099419,0.050000,0.198837,1.000000,1.000000,-0.999091,-1.000000,0.171000,0.008600,0.001710,1.000000,0.171000,0.008600,0.001710,1.000000,0.171000,0.008600,0.001710,0.171000,0.008600,0.001710,1,1,1,1,1,1,1,1,1,1,1,1
